member_id,honorific,first_name,last_name,constituency,province_territory,party_affiliation,start_date,time_retrieved,source
89130,,Pat,Kelly,Calgary Rocky Ridge,Alberta,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/pat-kelly(89130)
88849,,Iqra,Khalid,Mississauga—Erin Mills,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/iqra-khalid(88849)
105052,,Arpan,Khanna,Oxford,Ontario,Conservative,2023-06-19T00:00:00,1706738730620,/members/en/arpan-khanna(105052)
88705,Hon.,Kamal,Khera,Brampton West,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/kamal-khera(88705)
89095,,Robert,Kitchen,Souris—Moose Mountain,Saskatchewan,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/robert-kitchen(89095)
89136,,Tom,Kmiec,Calgary Shepard,Alberta,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/tom-kmiec(89136)
105009,,Annie,Koutrakis,Vimy,Quebec,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/annie-koutrakis(105009)
89080,,Michael,Kram,Regina—Wascana,Saskatchewan,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/michael-kram(89080)
110454,,Shelby,Kramp-Neuman,Hastings—Lennox and Addington,Ontario,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/shelby-kramp-neuman(110454)
105614,,Damien,Kurek,Battle River—Crowfoot,Alberta,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/damien-c-kurek(105614)
96367,,Stephanie,Kusie,Calgary Midnapore,Alberta,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/stephanie-kusie(96367)
71820,,Irek,Kusmierczyk,Windsor—Tecumseh,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/irek-kusmierczyk(71820)
89346,,Jenny,Kwan,Vancouver East,British Columbia,NDP,2021-09-20T00:00:00,1706738730620,/members/en/jenny-kwan(89346)
35857,Hon.,Mike,Lake,Edmonton—Wetaskiwin,Alberta,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/mike-lake(35857)
92209,,Marie-France,Lalonde,Orléans,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/marie-france-lalonde(92209)
96350,,Emmanuella,Lambropoulos,Saint-Laurent,Quebec,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/emmanuella-lambropoulos(96350)
88501,Hon.,David,Lametti,LaSalle—Émard—Verdun,Quebec,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/david-lametti(88501)
30552,,Kevin,Lamoureux,Winnipeg North,Manitoba,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/kevin-lamoureux(30552)
110665,,Melissa,Lantsman,Thornhill,Ontario,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/melissa-lantsman(110665)
110663,,Viviane,Lapointe,Sudbury,Ontario,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/viviane-lapointe(110663)
104973,,Andréanne,Larouche,Shefford,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706738730620,/members/en/andreanne-larouche(104973)
104957,,Patricia,Lattanzio,Saint-Léonard—Saint-Michel,Quebec,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/patricia-lattanzio(104957)
88394,,Stéphane,Lauzon,Argenteuil—La Petite-Nation,Quebec,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/stephane-lauzon(88394)
105291,,Philip,Lawrence,Northumberland—Peterborough South,Ontario,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/philip-lawrence(105291)
1813,Hon.,Dominic,LeBlanc,Beauséjour,New Brunswick,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/dominic-leblanc(1813)
88460,Hon.,Diane,Lebouthillier,Gaspésie—Les Îles-de-la-Madeleine,Quebec,Liberal,2021-09-20T00:00:00,1706738730620,/members/en/diane-lebouthillier(88460)
104653,,Richard,Lehoux,Beauce,Quebec,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/richard-lehoux(104653)
104630,,Sébastien,Lemire,Abitibi—Témiscamingue,Quebec,Bloc Québécois,2021-09-20T00:00:00,1706738730620,/members/en/sebastien-lemire(104630)
108395,,Branden,Leslie,Portage—Lisgar,Manitoba,Conservative,2023-06-19T00:00:00,1706738730620,/members/en/branden-leslie(108395)
105120,,Chris,Lewis,Essex,Ontario,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/chris-lewis(105120)
88958,,Leslyn,Lewis,Haldimand—Norfolk,Ontario,Conservative,2021-09-20T00:00:00,1706738730620,/members/en/leslyn-lewis(88958)
